,ID,Q,Rating,Ctype,CtypeT,CtypeC,Anim,Cpair
254,8,2,5,PhsH,TransH,Csl,ivs,caus
255,8,3,7,PhsH,TransH,Csl,base,caus
256,8,4,3,PhsH,TransH,Csl,base,caus
257,8,5,5,PhsH,TransH,Csl,ivs,base
258,8,6,5,PhsH,TransH,Csl,ivs,base
259,8,7,3,PhsH,TransH,Csl,base,base
260,8,8,7,PhsH,TransH,Csl,base,base
261,8,9,7,PhsL,TransL,Csl,ivs,caus
262,8,10,4,PhsL,TransL,Csl,ivs,caus
263,8,11,7,PhsL,TransL,Csl,base,caus
264,8,12,3,PhsL,TransL,Csl,base,caus
265,8,13,7,PhsL,TransL,Csl,ivs,base
266,8,14,4,PhsL,TransL,Csl,ivs,base
267,8,15,7,PhsL,TransL,Csl,base,base
268,8,16,3,PhsL,TransL,Csl,base,base
269,8,17,4,Aff,TransL,Csl,ivs,caus
270,8,18,3,Aff,TransL,Csl,ivs,caus
271,8,19,4,Aff,TransL,Csl,ivs,base
272,8,20,3,Aff,TransL,Csl,ivs,base
273,8,21,5,Loc,TransL,NCsl,ivs,caus
274,8,22,4,Loc,TransL,NCsl,ivs,caus
275,8,23,7,Loc,TransL,NCsl,base,caus
276,8,24,7,Loc,TransL,NCsl,base,caus
277,8,25,6,Loc,TransL,NCsl,ivs,base
278,8,26,7,Loc,TransL,NCsl,ivs,base
279,8,27,7,Loc,TransL,NCsl,base,base
280,8,28,7,Loc,TransL,NCsl,base,base
281,8,29,3,Poss,TransL,NCsl,ivs,caus
282,8,30,5,Poss,TransL,NCsl,ivs,caus
283,8,31,7,Poss,TransL,NCsl,base,caus
284,8,32,3,Poss,TransL,NCsl,base,caus
285,8,33,7,Poss,TransL,NCsl,ivs,base
286,8,34,7,Poss,TransL,NCsl,ivs,base
287,8,35,3,Poss,TransL,NCsl,base,base
288,8,36,7,Poss,TransL,NCsl,base,base
289,9,1,7,PhsH,TransH,Csl,ivs,caus
